date,open,high,low,close,adjusted_close,volume
2024-01-02,250.08,251.25,244.41,248.42,248.42,104654203
2024-01-03,244.98,245.68,236.32,238.45,238.45,121082602
2024-01-04,239.25,242.7,237.73,237.93,237.93,102629297
2024-01-05,236.86,240.1196,234.9001,237.49,237.49,92488945
2024-01-08,236.14,241.25,235.3,240.45,240.45,85166578
2024-01-09,238.11,238.9646,232.04,234.96,234.96,96705664
2024-01-10,235.1,235.5,231.29,233.94,233.94,91628492
2024-01-11,230.57,230.93,225.37,227.22,227.22,105873602
2024-01-12,220.08,225.34,217.1501,218.89,218.89,123043797
2024-01-16,215.1,223.49,212.18,219.91,219.91,115355000
2024-01-17,214.86,215.67,212.01,215.55,215.55,103164398
2024-01-18,216.88,217.45,208.74,211.88,211.88,108595398
2024-01-19,209.99,213.19,207.56,212.19,212.19,102260305
2024-01-22,212.26,217.8,206.27,208.8,208.8,117952492
2024-01-23,211.3,215.65,207.7516,209.14,209.14,106605906
2024-01-24,211.88,212.73,206.77,207.83,207.83,123369906
2024-01-25,189.7,193.0,180.06,182.63,182.63,198076797
2024-01-26,185.5,186.78,182.1,183.25,183.25,107343203
2024-01-29,185.63,191.48,183.67,190.93,190.93,125013102
2024-01-30,195.33,196.3593,190.61,191.59,191.59,109982305
2024-01-31,186.995,193.97,185.8459,187.29,187.29,103221398
2024-02-01,188.5,189.88,184.28,188.86,188.86,91843281
2024-02-02,185.04,188.69,182.0,187.91,187.91,110612703
2024-02-05,184.26,184.68,175.01,181.06,181.06,134294406
2024-02-06,177.21,186.49,177.11,185.1,185.1,122676000
2024-02-07,188.18,189.79,182.68,187.58,187.58,111535203
2024-02-08,189.0,191.6171,185.58,189.56,189.56,83034039
2024-02-09,190.18,194.12,189.48,193.57,193.57,84476352
2024-02-12,192.11,194.73,187.28,188.13,188.13,95498602
2024-02-13,183.99,187.26,182.1087,184.02,184.02,86759477
2024-02-14,185.3,188.89,183.35,188.71,188.71,81202992
2024-02-15,189.16,200.88,188.8595,200.45,200.45,120831797
2024-02-16,202.06,203.17,197.4,199.95,199.95,111346703
2024-02-20,196.13,198.6,189.13,193.76,193.76,104545797
2024-02-21,193.36,199.44,191.95,194.77,194.77,103844000
2024-02-22,194.0,198.32,191.36,197.41,197.41,92739453
2024-02-23,195.31,197.57,191.5,191.97,191.97,78841922
2024-02-26,192.29,201.78,192.0,199.4,199.4,111747102
2024-02-27,204.04,205.6,198.26,199.73,199.73,108645398
2024-02-28,200.42,205.3,198.44,202.04,202.04,99806172
2024-02-29,204.18,205.28,198.4463,201.88,201.88,85906969
2024-03-01,200.52,204.52,198.5,202.64,202.64,82243117
2024-03-04,198.73,199.75,186.72,188.14,188.14,134334891
2024-03-05,183.05,184.59,177.57,180.74,180.74,119660797
2024-03-06,179.99,181.576,173.7,176.54,176.54,107920898
2024-03-07,174.35,180.04,173.7,178.65,178.65,102129000
2024-03-08,181.5,182.73,174.7,175.34,175.34,85544641
2024-03-11,175.445,182.87,174.8,177.77,177.77,85391531
2024-03-12,177.77,179.43,172.4101,177.54,177.54,87391680
2024-03-13,173.05,176.05,169.15,169.48,169.48,106524492
2024-03-14,167.77,171.17,160.51,162.5,162.5,126325695
2024-03-15,163.16,165.1845,160.76,163.57,163.57,97146828
2024-03-18,170.02,174.72,165.9,173.8,173.8,108214398
2024-03-19,172.36,172.82,167.42,171.32,171.32,77271430
2024-03-20,173.0,176.25,170.82,175.66,175.66,83846727
2024-03-21,176.39,178.18,171.8,172.82,172.82,73178008
2024-03-22,166.69,171.2,166.3,170.83,170.83,75580641
2024-03-25,168.76,175.24,168.73,172.63,172.63,74228625
2024-03-26,178.58,184.25,177.38,177.67,177.67,113186203
2024-03-27,181.41,181.91,176.0,179.83,179.83,81804039
2024-03-28,177.45,179.57,175.3,175.79,175.79,77654844
2024-04-01,176.17,176.75,170.21,175.22,175.22,81562125
2024-04-02,164.75,167.69,163.43,166.63,166.63,116650602
2024-04-03,164.02,168.82,163.28,168.38,168.38,82950141
2024-04-04,170.07,177.19,168.01,171.11,171.11,123162000
2024-04-05,169.08,170.86,160.51,164.9,164.9,143157594
2024-04-08,169.34,174.5,167.79,172.98,172.98,104423297
2024-04-09,172.91,179.22,171.92,176.88,176.88,103232703
2024-04-10,173.04,174.93,170.01,171.76,171.76,84532406
2024-04-11,172.55,175.88,168.51,174.6,174.6,94515992
2024-04-12,172.34,173.8099,170.3644,171.05,171.05,64722672
2024-04-15,170.24,170.69,161.38,161.48,161.48,100245297
2024-04-16,156.742,158.19,153.75,157.11,157.11,96999961
2024-04-17,157.64,158.33,153.78,155.45,155.45,82439719
2024-04-18,151.25,152.2,148.7,149.93,149.93,96098828
2024-04-19,148.97,150.94,146.22,147.05,147.05,87074492
2024-04-22,140.56,144.44,138.8025,142.05,142.05,107097602
2024-04-23,143.33,147.26,141.11,144.68,144.68,124545102
2024-04-24,162.84,167.97,157.51,162.13,162.13,181178000
2024-04-25,158.96,170.88,158.36,170.18,170.18,126427508
2024-04-26,168.85,172.12,166.37,168.29,168.29,109815695
2024-04-29,188.42,198.87,184.54,194.05,194.05,243869703
2024-04-30,186.98,190.95,182.8401,183.28,183.28,127031797
2024-05-01,182.0,185.86,179.01,179.99,179.99,92829719
2024-05-02,182.86,184.6,176.02,180.01,180.01,89148039
2024-05-03,182.1,184.78,178.42,181.19,181.19,75491539
2024-05-06,183.8,187.56,182.2,184.76,184.76,84390250
2024-05-07,182.4,183.26,177.4,177.81,177.81,75045852
2024-05-08,171.59,176.06,170.15,174.72,174.72,79969484
2024-05-09,175.01,175.62,171.37,171.97,171.97,65950289
2024-05-10,173.05,173.0599,167.75,168.47,168.47,72627188
2024-05-13,170.0,175.4,169.0,171.89,171.89,67018898
2024-05-14,174.496,179.49,174.07,177.55,177.55,86407422
2024-05-15,179.9,180.0,173.11,173.99,173.99,79662992
2024-05-16,174.1,175.79,171.43,174.84,174.84,59812219
2024-05-17,173.55,179.63,172.75,177.46,177.46,77445852
2024-05-20,177.56,177.754,173.52,174.95,174.95,61727434
2024-05-21,175.51,186.875,174.71,186.6,186.6,115266492
2024-05-22,182.85,183.8,178.12,180.11,180.11,88313477
2024-05-23,181.8,181.9,173.26,173.74,173.74,71975508
2024-05-24,174.835,180.08,173.73,179.24,179.24,65584477
2024-05-28,176.4,178.25,173.16,176.75,176.75,59736621
2024-05-29,174.19,178.15,173.93,176.19,176.19,54782648
2024-05-30,178.575,182.67,175.38,178.79,178.79,77784758
2024-05-31,178.5,180.32,173.82,178.08,178.08,67314602
2024-06-03,178.13,182.6389,174.49,176.29,176.29,68568922
2024-06-04,174.775,177.755,174.0,174.77,174.77,60056340
2024-06-05,175.35,176.15,172.13,175.0,175.0,57953762
2024-06-06,174.6,179.73,172.73,177.94,177.94,69887023
2024-06-07,176.13,179.35,175.58,177.48,177.48,56244930
2024-06-10,176.06,178.57,173.17,173.79,173.79,50869680
2024-06-11,173.92,174.75,167.41,170.66,170.66,64761930
2024-06-12,171.12,180.55,169.8,177.29,177.29,90389445
2024-06-13,188.39,191.08,181.23,182.47,182.47,118984094
2024-06-14,185.8,186.0,176.92,178.01,178.01,82038195
2024-06-17,177.92,188.81,177.0,187.44,187.44,109786094
2024-06-18,186.56,187.2,182.37,184.86,184.86,68982273
2024-06-20,184.68,185.21,179.66,181.57,181.57,55893141
2024-06-21,182.3,183.95,180.69,183.01,183.01,63029480
2024-06-24,184.97,188.8,182.55,182.58,182.58,61992070
2024-06-25,184.4,187.97,182.01,187.35,187.35,63678273
2024-06-26,186.54,197.755,186.36,196.37,196.37,95737070
2024-06-27,195.17,198.72,194.05,197.42,197.42,72746523
2024-06-28,199.55,203.2,195.26,197.88,197.88,95438070
2024-07-01,201.02,213.23,200.85,209.86,209.86,135691391
2024-07-02,218.89,231.3,218.06,231.26,231.26,205047906
2024-07-03,234.56,248.35,234.25,246.39,246.39,166561500
2024-07-05,249.81,252.37,242.4601,251.52,251.52,154501203
2024-07-08,247.71,259.439,244.57,252.94,252.94,157219594
2024-07-09,251.0,265.61,250.3,262.33,262.33,160742500
2024-07-10,262.8,267.59,257.86,263.26,263.26,128519398
2024-07-11,263.3,271.0,239.65,241.03,241.03,221707297
2024-07-12,235.8,251.84,233.0912,248.23,248.23,155955812
2024-07-15,255.97,265.6,251.73,252.64,252.64,146912891
2024-07-16,255.31,258.62,245.8001,256.56,256.56,126332492
2024-07-17,252.73,258.47,246.182,248.5,248.5,115584797
2024-07-18,251.09,257.14,247.2,249.23,249.23,110869000
2024-07-19,247.79,249.44,236.83,239.2,239.2,87403906
2024-07-22,244.21,253.21,243.75,251.51,251.51,101225398
2024-07-23,253.6,255.7594,245.63,246.38,246.38,111928203
2024-07-24,225.42,225.99,214.71,215.99,215.99,167942891
2024-07-25,216.8,226.0,216.231,220.25,220.25,100636492
2024-07-26,221.19,222.2799,215.33,219.8,219.8,94604148
2024-07-29,224.9,234.27,224.7,232.1,232.1,129201797
2024-07-30,232.25,232.41,220.0,222.62,222.62,100560305
2024-07-31,227.9,234.68,226.7875,232.07,232.07,67497008
2024-08-01,227.69,231.867,214.3328,216.86,216.86,83861906
2024-08-02,214.88,216.13,205.78,207.67,207.67,82880117
2024-08-05,185.22,203.8799,182.0,198.88,198.88,100308797
2024-08-06,200.75,202.9,192.67,200.64,200.64,73783938
2024-08-07,200.77,203.49,191.48,191.76,191.76,71159773
2024-08-08,195.7,200.7,192.04,198.84,198.84,65033871
2024-08-09,197.05,200.88,195.11,200.0,200.0,58648273
2024-08-12,199.02,199.26,194.67,197.49,197.49,64044898
2024-08-13,198.47,208.49,197.06,207.83,207.83,76247391
2024-08-14,207.39,208.44,198.75,201.38,201.38,70250008
2024-08-15,205.02,215.88,204.82,214.14,214.14,89848531
2024-08-16,211.15,219.8,210.8,216.12,216.12,88765117
2024-08-19,217.07,222.98,214.09,222.72,222.72,76435219
2024-08-20,224.88,228.22,219.56,221.1,221.1,74001188
2024-08-21,222.67,224.6594,218.86,223.27,223.27,70145961
2024-08-22,223.82,224.8,210.32,210.66,210.66,79514477
2024-08-23,214.455,221.48,214.21,220.32,220.32,81525211
2024-08-26,218.75,219.09,211.01,213.21,213.21,59301191
2024-08-27,213.25,215.66,206.94,209.21,209.21,62821391
2024-08-28,209.72,211.84,202.59,205.75,205.75,64116352
2024-08-29,209.8,214.89,205.97,206.28,206.28,62308820
2024-08-30,208.63,214.5701,207.03,214.11,214.11,63370609
2024-09-03,215.26,219.904,209.64,210.6,210.6,76551800
2024-09-04,210.59,222.22,210.57,219.41,219.41,80651766
2024-09-05,223.49,235.0,222.25,230.17,230.17,119355000
2024-09-06,232.6,233.6,210.51,210.73,210.73,112177000
2024-09-09,216.2,219.87,213.67,216.27,216.27,67443523
2024-09-10,220.07,226.4,218.6377,226.17,226.17,78891133
2024-09-11,224.55,228.47,216.8003,228.13,228.13,83548633
2024-09-12,224.66,231.45,223.83,229.81,229.81,72020039
2024-09-13,228.0,232.67,226.32,230.29,230.29,59515113
2024-09-16,229.3,229.96,223.53,226.78,226.78,54323000
2024-09-17,229.45,234.57,226.5533,227.87,227.87,66761641
2024-09-18,230.09,235.68,226.88,227.2,227.2,78010203
2024-09-19,234.0,244.24,232.13,243.92,243.92,102694602
2024-09-20,241.52,243.99,235.92,238.25,238.25,99879070
2024-09-23,242.61,250.0,241.92,250.0,250.0,86927195
2024-09-24,254.08,257.19,249.0501,254.27,254.27,88491000
2024-09-25,252.54,257.05,252.28,257.02,257.02,65034320
2024-09-26,260.6,261.75,251.53,254.22,254.22,67142195
2024-09-27,257.375,260.6999,254.12,260.46,260.46,70988070
2024-09-30,259.04,264.86,255.77,261.63,261.63,80873375
